ルールID	カテゴリ	項目	対象・モード	基準単位	現状ルール	計算式・設定値	丸め・量子化	起点・停止・再開	同一フレーム処理	検証状態	実装状態	未調査・備考
TIME_DURATION_RECORD	持続時間	録画上の期限表示	検証用	録画F	ゲーム内期限を録画Fへ換算した最初の観測可能Fで確認する	録画期限F=ceil(持続ゲームF/速度倍率)	録画F側のみ切り上げ	効果発生録画Fを起点	-	実測済	資料のみ	SP周期の周期ごとの切り上げとは別規則
ACTION_INITIAL_DELAY	行動開始	初動遅延	全行動	ゲームF	戦闘開始後、既定60Fまでは最初の行動を開始しない	initialActionDelayFrames=60	入力値は通常の時間正規化	戦闘開始0Fから進行、行動だけ停止	60F時点は通常の行動優先順を使う	暫定値	実装済	射程・配置・移動速度ごとの値は未調査、使徒別または手動上書きを想定
ACTION_INITIAL_CLOCKS	行動開始	初動中の時計	SP・CT・周期効果	ゲームF	初動移動中もSP周期と高学年CTは進行する	-	各時計固有規則	戦闘開始0Fから開始	-	仕様確認	実装済	周期効果全般は今後追加
ACTION_MOVEMENT_TRANSITION	行動間移動	移動時間	行動の組み合わせ	ゲームF	遷移元行動と遷移先行動の組み合わせに実測移動時間があれば独立フェーズとして挿入する	行動間移動シート	入力単位からゲームFへ変換	遷移元モーション終了時	移動完了後にスキル移行または次行動を開始	暫定仕様	実装済	未登録の組み合わせは0F。分岐指定は完全一致を優先
ACTION_MOVEMENT_CLOCKS	行動間移動	移動中の時計	SP・CT・周期効果	ゲームF	移動中は行動開始だけを停止し毎秒SP回復・CT・周期効果・バフデバフ時間は進行する	-	各時計固有規則	移動開始時	移動終了時	仕様整理	実装済	高学年オートも移動完了まで待機する暫定仕様
NORMAL_INTERVAL	普通攻撃	普通攻撃間隔	基本・強化共通	ゲームF	普通攻撃開始時に次回開始可能時刻を設定する	nextNormalAttackF=開始F+補正後間隔F	内部tickへ変換時にMath.round	各普通攻撃の開始Fで更新	モーション終了前なら終了を待つ	設計確定	実装済	-
NORMAL_MOTION_WAIT	普通攻撃	間隔とモーション	普通攻撃	ゲームF	モーションが間隔より先に終わっても次回開始可能Fまで待つ	開始F=max(モーション終了F,nextNormalAttackF)	内部tick単位	普通攻撃開始F	待機中に低学年・高学年が可能なら行動優先順を使う	仕様確認	実装済	-
NORMAL_SPEED_INTERVAL	速度補正	攻撃速度と間隔	普通攻撃	ゲームF	攻撃速度は普通攻撃間隔を短縮する	補正後間隔≈基礎間隔/(1+攻撃速度)	正確な丸め位置は未調査	普通攻撃開始ごとに使用	-	1条件で実測支持	暫定実装	下限、複数補正の適用順、ゲーム側の整数化位置は未調査
NORMAL_SPEED_MOTION	速度補正	攻撃速度とモーション	普通攻撃	ゲームF	補正後間隔が基礎モーションより短い場合だけ、モーションと発生Fも同率短縮される可能性を採用	motionScale=min(1,補正後間隔/基礎モーション)	発生Fと終了Fの丸め方式は未調査	行動開始前に算出	-	1条件のみ実測	暫定モデル	intervalCoupledMotion。基本攻撃と強化攻撃で共通か未調査
ACCELERATION_MOTION	速度補正	加速	モーション・発生F	ゲームF	加速はモーションおよび発生タイミングへ直接作用する想定	effectiveMotion=accelerationFormula(baseMotion,totalAcceleration)	除算式・適用順・丸め位置は未調査	行動開始前に算出	-	未調査	未実装	攻撃速度による間接短縮とは別段階で扱う
ENHANCED_EVERY_N	強化攻撃	N回ごと	普通攻撃系列	回数	普通攻撃系列を1から通算し、N回目を強化攻撃へ置き換える	sequence%N=0で強化	整数回数	普通攻撃開始時に加算	低学年・高学年は通算に含めない	仕様確認	実装済	N=3なら基本→基本→強化
ENHANCED_PROBABILITY	強化攻撃	確率発動	普通攻撃系列	確率%	普通攻撃開始時に基本・強化をseed付き乱数で決める	random×100<発動率	乱数値自体は丸めない	普通攻撃開始時	決定後はその行動中に変更しない	仕様確認	実装済	同一seedなら再現可能
ENHANCED_CONDITIONAL	強化攻撃	状態・回数条件	特殊な強化攻撃	-	ダメージ回数、状態、対象条件などの汎用条件分岐	効果ごとの条件式	未調査	原則として普通攻撃開始時に判定する想定	-	未調査	未実装	確率扱いへフォールバックしない
LOW_THRESHOLD	低学年	発動SP	通常使徒	SP	原則SP300以上で発動可能にする	requiredSp=300	SP値の丸めは効果側仕様に従う	SP回復・付与時	同時刻の優先順は別行参照	現行使徒で確認	実装済	最大SPや必要SPが異なる将来使徒は個別設定
SP_BASE_PERIOD	SP回復	基礎周期	毎秒SP回復	ゲームF	文言上の基礎周期は60戦闘F	spRecoveryIntervalBattleFrames=60	ゲーム内理想時刻では丸めなし	戦闘開始0Fから最初の周期を開始	-	確認済	実装済	現行シミュレーターのideal相当
SP_GAMEUPDATE_PERIOD	SP回復	実ゲームの更新周期	gameUpdate想定	録画F	60戦闘F待機を速度ごとの更新フレームへ周期ごとに切り上げる	recordingFramesPerTick=ceil(60/combatSpeed)	▶47F、▶▶36F、▶▶▶31F	実際に回復を実行した録画Fを次周期の起点にする	-	長期実測で強く支持	未実装	現行シミュレーターは速度非依存の60ゲームF周期。gameUpdateモード追加が必要
SP_GAMEUPDATE_EFFECTIVE	SP回復	実効ゲームF周期	gameUpdate想定	ゲームF	更新フレーム量子化により速度ごとに実効周期が少し変わる	▶61.10F、▶▶60.84F、▶▶▶60.45F	録画Fへ周期ごとに切り上げた結果	各実行Fから再待機	-	長期実測済	未実装	同じ60戦闘秒でも速度により回復回数が変わる
SP_NO_ACCUMULATION	SP回復	周期誤差の扱い	gameUpdate想定	録画F	理論時刻へ60Fずつ加算して誤差を相殺しない	次回=今回の実行録画F+ceil(60/速度)	周期ごとの切り上げ誤差が累積する	実行録画Fごとに再起点	-	敵SP連続計測で確認	未実装	単発の±1～2Fは目視・録画境界誤差として扱う
SP_CAP_TIMER	SP回復	SP上限中の周期	毎秒SP回復	ゲームF	SPが上限でも周期タイマーは進行する	SP=min(maxSP,SP+回復量)	周期規則は通常どおり	上限到達でタイマーを止めない	回復量0の周期も内部処理	長期実測で強く支持	実装済	ゲーム内部で回復コールバック自体が実行されるかは未調査
SP_LOW_PAUSE	SP回復	低学年中の周期停止	低学年移行・モーション	ゲームF	低学年の2F移行とモーション中はSP周期の残り時間を保持して停止する	remainingFを減算しない	残り時間を丸め直さない	低学年移行開始で停止、モーション終了で残りから再開	-	複数速度・複数周回で確認	実装済	-
SP_LOW_RESET	SP回復	低学年開始時のSP	低学年	SP	実際の低学年モーション開始時にSPを0へ戻す	sp=0	なし	2F移行終了後のactionStart	同時Fの回復は現行処理順では移行中停止	現行使徒で確認	実装済	将来のconsume・set方式はデータ指定可能にするが現状未使用
SP_STAGE_MODIFIER	SP回復	ステージルール補正	次元など	SP量	毎秒SP回復量へステージ固有倍率が掛かる場合がある	例:基礎回復量×1.30	SP量の最終丸めは未調査	各SP回復判定時	-	存在確認	一部実装	次元シーズンの「毎秒SP回復量30%増加」を見落とすと周期検証を誤る。一般的な加算・乗算順は未調査
LOW_TRANSITION	スキル移行	低学年移行時間	低学年	ゲームF	発動決定からモーション・効果開始まで2F追加する	actionStartF=決定F+2F	整数2F	発動決定Fから開始	移行中はSP周期停止	暫定設定	実装済	使徒差・コンテンツ差は未調査
HIGH_TRANSITION	スキル移行	高学年移行時間	高学年	ゲームF	発動決定からモーション・効果・再CT開始まで2F追加する	actionStartF=決定F+2F	整数2F	発動決定Fから開始	移行中もSP周期は進む	暫定設定	実装済	使徒差・コンテンツ差は未調査
LOW_END_NORMAL	低学年	終了後の普通攻撃	低学年	ゲームF	低学年終了後は以前の普通攻撃タイマーを破棄し、即普通攻撃可能にする	nextNormalAttackF=lowSkillEndF	内部tick単位	低学年モーション終了F	同じFの行動優先順を使用	仕様確認	実装済	低学年が普通攻撃をどの時点で差し替えても同様
HIGH_INITIAL_CT	高学年	初回クールタイム	高学年オート	ゲームF	初回CTは戦闘開始0Fから進む	readyF=CT秒×60×初回倍率	内部tick変換時Math.round	戦闘開始0F	初動中も進行	イードで確認	実装済	通常コンテンツの初回倍率は1
HIGH_RECURRING_CT	高学年	2回目以降のクールタイム	高学年オート	ゲームF	再CTは高学年の実モーション開始時から進む	readyF=actionStartF+CT秒×60×再CT倍率	内部tick変換時Math.round	2F移行終了後のactionStart	-	イードで確認	実装済	モーション終了起点ではない
HIGH_AUTO	高学年	オート発動	高学年オート	ゲームF	CT完了後、現在モーション終了まで待ってから発動する	readyF到達かつcurrentActionなし	内部tick単位	CT完了F	低学年待機を高学年より優先	仕様確認	実装済	途中キャンセルしない
HIGH_IMMEDIATE	高学年	即時・手動発動	将来モード	ゲームF	命令Fで現在行動をキャンセルして発動する想定	未定	未調査	命令F	高学年命令を通常イベントより先にする設計案	未調査	未実装	未発生ヒットの破棄、生成済み飛翔物の継続可否を要検証
HIGH_DIMENSION_INITIAL	高学年	次元の初回CT半減	次元の衝突	倍率	少なくとも検証シーズンでは初回のみ50%、2回目以降は通常CT	initialMultiplier=0.5、recurringMultiplier=1	内部tick変換時Math.round	戦闘開始0F	-	複数使徒で傾向確認	設定対応済	恒常ルールかシーズンルールか未調査
PRIORITY_QUEUED_LOW	同一フレーム	以前から待機中の低学年	行動決定	内部tick	以前のFから低学年待機中なら普通攻撃・高学年より先に低学年へ移行する	lowReadyF<currentF	内部tick比較	現在行動終了または待機中	低学年>高学年>普通攻撃	仕様確認	実装済	-
PRIORITY_NEW_LOW_NORMAL	同一フレーム	SP到達と普通攻撃可能が同時	行動決定	内部tick	そのFでSPが必要値へ到達し普通攻撃も開始可能なら普通攻撃を優先する	lowReadyF=currentFかつnormalReady	内部tick比較	SP回復F	普通攻撃を開始し低学年はモーション終了後まで待機	仕様確認	実装済	-
PRIORITY_LOW_HIGH	同一フレーム	低学年と高学年が発動可能	オート	内部tick	低学年を高学年より優先する	-	内部tick比較	行動決定F	低学年>高学年	ユーザー指定	実装済	-
PRIORITY_FRAME_ORDER	同一フレーム	全体処理順	現行シミュレーター	内部tick	SP更新→既存DoT tick→本体イベント→生成物イベント→状態期限切れ→モーション終了→移行完了→次行動決定の順	-	同じ内部tick内で順番処理	各tick	左記順序	実装確認	実装済	ゲーム本体の一般的な厳密順序は未調査。設計書の一般効果順と一部差がある
HIT_TIMING	攻撃発生	明示された発生F	本体行動	ゲームF	行動開始からの相対Fで各イベントを発生させる	absoluteF=actionStartF+eventF	生成時に整数ゲームF化	実モーション開始F	同時イベントは入力・配列順	仕様確定	実装済	複数ヒットは行を分けて記録
HIT_FALLBACK	攻撃発生	発生F未設定	ダメージイベント	ゲームF	未調査の残りダメージをモーション終了時にまとめて発生させる	eventF=motionF	モーションFと同じ	行動開始F	モーション終了イベントより先にダメージイベントを処理	暫定補完	実装済	結果へfallbackであることを表示し、確定値扱いしない
EFFECT_TIMING_FALLBACK	効果発生	バフ・デバフ発生F未設定	状態付与	ゲームF	対象効果の発生Fがなければモーション終了時付与として補完する	effectF=motionF	モーションFと同じ	行動開始F	同時FのDoT・期限との順序は実装規則に従う	暫定補完	一部実装	効果IDごとの発生タイミング調査が必要
GENERATED_PERSIST	生成物	本体終了後のイベント	設置・召喚・飛翔物	ゲームF	生成済みイベントは本体モーション終了後も独立キューで継続する	absoluteF=ownerStartF+generatedEventF	生成時に整数ゲームF化	生成元行動開始Fまたは生成物起点	本体イベント後に生成物イベント	設計確定	実装済	高学年即時キャンセル時に生成前・生成後をどう扱うかは要検証
GENERATED_OVERWRITE	生成物	再生成時の上書き	respawnPolicy=上書き	内部tick	同じ生成物IDの旧インスタンスに残る未発生イベントをキャンセルする	-	内部tick比較	新しい生成イベントF	新しい生成判定後に旧イベントを取消	暫定仕様	実装済	ゲーム本体の生成物別再召喚規則は未調査
GENERATED_INSTANCE	生成物	個体ごとの展開	複数召喚	ゲームF	SLv効果または固定数から生成数を解決し、個体順ごとに生成・周期攻撃・終了イベントを展開する	instanceId=generatedObjectId+instanceOrder	生成時にゲームF化	生成元行動開始F	個体ごとに独立	設計確定	実装済	モモのSLv別召喚数とクロエの個別生成を対応
GENERATED_TIMED_END	生成物	経過時間終了	生成後経過時間	ゲームF	生成Fに持続Fを加えた時刻を個体の終了Fとし、周期イベントは終了F未満まで展開する	endF=spawnF+durationF	生成時にゲームF化	個体の生成F	終了時イベントはendFで発生	設計確定	実装済	自爆や状態付与の終了時基準を含む
GENERATED_HIT_END	生成物	被ダメージ回数終了	被ダメージ回数	回数	敵行動タイムライン未実装のため現在は評価せず、ORの経過時間条件を使用する	-	-	被弾F	経過時間条件を優先	シート記載済	未実装	モモの3回被弾終了。警告を表示する
DOT_PERIOD	状態異常	DoT周期	火傷・毒・苦痛・凍傷	ゲームF	付与から60F後に初回tick、以後60Fごとにダメージ判定する	nextTickF=applyF+60F	SPのgameUpdate切り上げは適用しない	各スタックの効果発生F	同時Fでは既存DoT tickを先に処理	設計値	実装済	ゲーム本体でも更新フレーム量子化されるか未調査
DOT_DAMAGE_TIME	状態異常	DoTダメージ評価時点	火傷・毒・苦痛・凍傷	内部tick	付与時に固定せずtick時点の基礎ダメージと有効効果で評価する。防御係数は弱点適用前基礎DoTの構成要素で、状態異常弱点とは独立	状態別倍率:火傷30%、毒6%、苦痛12%、凍傷9%	ダメージ計算側の丸めに従う	各tickF	-	設計値	一部実装	時限バフ全般のヒット時評価器は未完成
DOT_STATUS_WEAKNESS	状態異常	状態異常ダメージ弱点	火傷・毒・苦痛・凍傷	その他倍率%	DoT tick時だけ敵プリセットのweakness.statusDamage.otherPをその他倍率へ加算する。防御係数を変更せず通常攻撃・スキル本体へも適用しない	otherP_after=otherP_before+weaknessP。100%+1000%=1100%	その他倍率カテゴリの計算に従う	各tickF	基礎DoT作成>tick時補正>弱点加算>最終DoT	ユーザー指定	実装済	既存その他倍率がある場合は現在ダメージの固定11倍ではなく同カテゴリへの+1000ポイント
DOT_EXPIRE_TICK	状態異常	期限とDoT tickが同時	DoT	内部tick	期限FとtickFが同じならtick後に消失する	4秒持続なら1、2、3、4秒後の4回	内部tick比較	applyF+durationF	DoT tick>状態期限切れ	設計値	実装済	ゲーム本体での実測は未調査
DOT_REAPPLY_SAME_FRAME	状態異常	既存tickと再付与が同時	DoT	内部tick	現行実装では既存tickを処理した後に本体・生成物の再付与を行う	-	内部tick比較	再付与イベントF	既存tick>再付与>期限切れ	実装確認	実装済	ゲーム本体での順序は未調査
STACK_DURATION	スタック	スタック別期限	持続スタック	内部tick	各スタックが独立した開始・tick・期限を持ち、新規付与で既存期限を延長しない	-	内部tick単位	各効果発生F	期限ごとに該当スタックだけ削除	仕様決定	実装済	残り4秒の1個に10秒の2個目を足すと4秒間2、続く6秒間1
STACK_MAX_DEFAULT	スタック	最大スタック未記入	DoT	個数	maxStack未記入時は9として扱う	maxStacks=9	整数	効果読込時	-	ユーザー指定	実装済	DoT以外の既定値は効果種別ごとに定義が必要
STACK_MAX_REAPPLY	スタック	最大数到達後の再付与	スタック可能DoT	内部tick	期限が最も早い既存スタックを新しいスタックへ置換する	-	内部tick比較	再付与F	現行実装では再付与イベント時に置換	暫定仕様	実装済	ゲーム本体の挙動は未調査
STACK_NONSTACK_REAPPLY	スタック	非スタック効果の再付与	effectStack=false	内部tick	既存効果を削除し、1スタックを新しい期限で付与し直す	-	内部tick比較	再付与F	現行実装では再付与後に同F期限処理	暫定仕様	実装済	ゲーム本体の更新・延長・無視の別は未調査
STACK_GROUP	スタック	スタック集約単位	DoT	識別子	既定は状態異常名・スタック可否・最大数が同じ効果を同枠にする	stackGroup=status+stackable+maxStacks	-	効果読込時	-	設計値	実装済	異なる設定を同枠化する場合はstackGroupId明示を想定
FROSTBITE_EXTRA	状態異常	凍傷の追加被ダメージ	冷静からの攻撃	スタック数	凍傷1スタックごとに冷静使徒からの被ダメージ量を8%加算する	damage×(1+0.08×有効凍傷数)	最終ダメージ側の丸めに従う	各直接攻撃・DoT tick時	付与攻撃自身は付与前のダメージとして補正なし	ユーザー指定	実装済	他の被ダメージ倍率との加算・乗算区分は計算器仕様に従う
BUFF_STACK_SAME_FRAME	スタック	一般バフの期限と新規付与が同時	DoT以外の持続効果	内部tick	設計書には期限切れ後に新規付与の暫定案があるが、現行共通実装はイベント付与後に期限切れ処理となる	-	未確定	同一内部tick	未確定	未調査	不整合あり	ゲーム実測後に処理順を統一する必要あり
MOTION_CANCEL_PROJECTILE	キャンセル	発射済み飛翔物	高学年即時・手動	ゲームF	発射・生成済みのイベントをキャンセル後も残す可能性が高いが未確定	未定	未調査	キャンセルF	未定	未調査	未実装	生成前イベント、発射済み、着弾済みを区別して検証する
MOTION_LOOP_DYNAMIC	可変モーション	条件で反復数が変わる行動	シオン低学年など	ゲームF	行動開始時の状態から反復数を解決し、startup・loop・recoveryへ展開する設計	motion=startup+loop×repeat+recovery	各区間・イベントの丸めは未調査	行動開始時に反復数を固定	途中状態変化では原則反復数を変えない	設計段階	未実装	リソース獲得・消費順、途中キャンセル、反復上限を効果別に調査
DRAGONLIGHT_PERIODIC	時系列効果	竜光剣の周期増加	竜光剣	ゲームF	戦闘開始60F後から60Fごとに攻撃速度を1スタック加算する	nextStackF+=60F、attackSpeedP=1スタック値×スタック数	内部tickへ変換時Math.round	戦闘開始0Fを周期起点	同一Fでは周期増加を行動開始判定より先に処理	暫定仕様	試験実装	最大スタック未記入のため現状は上限なし。実際の上限は未調査
DRAGONLIGHT_IMMEDIATE	時系列効果	竜光剣増加時の即時反映	普通攻撃間隔	内部tick	増加と同時に攻撃速度値と次回普通攻撃可能時刻を更新する	nextNormalAttackF=lastNormalAttackStartF+baseIntervalF/(1+attackSpeedP/100)	0.1F内部tickへMath.round	各スタック増加F	再計算時刻を過ぎていても進行中モーションの終了を待つ	ユーザー指定	試験実装	開始済みモーション・発生F・終了Fは途中伸縮しない。ゲーム挙動は未調査
DRAGONLIGHT_RESET	時系列効果	竜光剣の低学年リセット	低学年	内部tick	2F移行後の低学年実モーション開始時にスタックを0へ戻す	stackCount=0	なし	低学年actionStart	同一Fの周期増加後にリセット	暫定仕様	試験実装	周期位相はリセットせず低学年中も増加を続ける。ゲーム挙動は未調査
